"province_of_origin","year","Destination_Newfoundland_and_Labrador","Destination_Prince_Edward_Island","Destination_Nova_Scotia","Destination_New_Brunswick","Destination_Quebec","Destination_Ontario","Destination_Manitoba","Destination_Saskatchewan","Destination_Alberta","Destination_British_Columbia","Destination_Yukon","Destination_Northwest_Territories_including_Nunavut_Terminated","Destination_Northwest_Territories","Destination_Nunavut",meta
"Newfoundland and Labrador","1971/1972",0,141,1451,1042,1104,6733,154,78,323,465,15,21,0,0,"How to cite:   Statistics Canada.  Table  17-10-0022-01   Estimates of interprovincial migrants by province or territory of origin and destination, annual"
"Newfoundland and Labrador","1972/1973",0,172,1999,1026,1204,6541,350,118,353,605,91,140,0,0,"DOI: https://doi.org/10.25318/1710002201-eng"
"Newfoundland and Labrador","1973/1974",0,137,1880,859,572,4716,555,218,2488,822,40,205,0,0, "missing data or N/A replaced with 0"
"Newfoundland and Labrador","1974/1975",0,159,1917,803,446,4612,432,160,2280,802,31,194,0,0,
"Newfoundland and Labrador","1975/1976",0,223,2377,1038,1301,8086,939,117,812,850,42,67,0,0,
"Newfoundland and Labrador","1976/1977",0,100,1899,1065,1033,5087,638,111,791,798,104,164,0,0,
"Newfoundland and Labrador","1977/1978",0,183,2031,1271,876,5182,477,99,759,578,43,68,0,0,
"Newfoundland and Labrador","1978/1979",0,135,1878,937,650,5608,696,181,1473,678,33,184,0,0,
"Newfoundland and Labrador","1979/1980",0,184,1739,792,370,4888,597,178,2787,886,73,169,0,0,
"Newfoundland and Labrador","1980/1981",0,107,1635,674,332,4555,575,232,3362,987,72,259,0,0,
"Newfoundland and Labrador","1981/1982",0,146,1708,630,285,4875,443,242,4567,1182,96,282,0,0,
"Newfoundland and Labrador","1982/1983",0,113,1467,624,267,3277,207,124,1547,536,18,184,0,0,
"Newfoundland and Labrador","1983/1984",0,151,1712,593,354,3592,279,127,1089,618,19,245,0,0,
"Newfoundland and Labrador","1984/1985",0,139,2208,484,357,3957,363,94,987,603,10,232,0,0,
"Newfoundland and Labrador","1985/1986",0,133,2021,614,308,5771,283,123,1526,670,25,172,0,0,
"Newfoundland and Labrador","1986/1987",0,112,1884,570,275,7618,320,105,868,486,43,166,0,0,
"Newfoundland and Labrador","1987/1988",0,159,1713,621,303,7933,295,88,810,508,41,131,0,0,
"Newfoundland and Labrador","1988/1989",0,162,1853,612,297,6835,222,86,961,528,48,157,0,0,
"Newfoundland and Labrador","1989/1990",0,156,1940,777,329,7315,287,107,1121,710,55,194,0,0,
"Newfoundland and Labrador","1990/1991",0,169,1881,708,273,5692,281,67,1180,704,75,178,0,0,
"Newfoundland and Labrador","1991/1992",0,233,1905,719,268,4855,203,118,1278,1026,88,0,154,88,
"Newfoundland and Labrador","1992/1993",0,221,1868,671,290,4550,182,120,1261,1173,63,0,160,77,
"Newfoundland and Labrador","1993/1994",0,214,1977,596,323,4859,197,100,1340,1611,41,0,161,113,
"Newfoundland and Labrador","1994/1995",0,217,1879,628,246,5745,273,99,1968,1984,59,0,209,73,
"Newfoundland and Labrador","1995/1996",0,262,1999,737,297,5643,294,121,2743,1894,99,0,252,100,
"Newfoundland and Labrador","1996/1997",0,216,1948,645,290,5263,230,220,4452,1414,84,0,210,124,
"Newfoundland and Labrador","1997/1998",0,243,2012,644,236,5679,266,298,6099,1037,45,0,194,129,
"Newfoundland and Labrador","1998/1999",0,257,1908,651,174,5481,216,174,3869,674,28,0,142,116,
"Newfoundland and Labrador","1999/2000",0,233,1915,663,186,5412,200,137,3102,508,25,0,140,142,
"Newfoundland and Labrador","2000/2001",0,208,1817,713,219,5003,194,145,2836,540,7,0,133,177,
"Newfoundland and Labrador","2001/2002",0,206,1942,691,217,4253,206,177,3499,587,7,0,195,156,
"Newfoundland and Labrador","2002/2003",0,216,1807,568,241,3988,178,131,2831,526,25,0,219,151,
"Newfoundland and Labrador","2003/2004",0,181,1634,570,174,3646,230,142,2949,488,18,0,228,164,
"Newfoundland and Labrador","2004/2005",0,197,1496,519,204,3644,214,116,4626,530,17,0,183,177,
"Newfoundland and Labrador","2005/2006",0,169,1366,529,186,2959,221,154,5985,677,12,0,179,200,
"Newfoundland and Labrador","2006/2007",0,175,1217,511,207,2449,205,180,6554,617,18,0,199,141,
"Newfoundland and Labrador","2007/2008",0,102,1223,454,205,2237,164,120,4861,571,19,0,196,135,
"Newfoundland and Labrador","2008/2009",0,114,1057,406,200,1909,163,107,3790,370,16,0,137,116,
"Newfoundland and Labrador","2009/2010",0,115,1019,446,146,2072,123,101,2754,439,17,0,104,104,
"Newfoundland and Labrador","2010/2011",0,124,979,437,180,1953,126,153,3199,394,14,0,102,94,
"Newfoundland and Labrador","2011/2012",0,123,937,361,198,1970,118,151,3145,464,17,0,82,62,
"Newfoundland and Labrador","2012/2013",0,105,917,389,173,1662,111,150,2674,449,25,0,64,69,
"Newfoundland and Labrador","2013/2014",0,84,994,334,173,1683,119,122,2648,439,16,0,82,66,
"Newfoundland and Labrador","2014/2015",0,72,982,383,186,1895,97,141,2433,512,9,0,67,74,
"Newfoundland and Labrador","2015/2016",0,108,987,373,196,2081,141,108,1738,496,16,0,78,46,
"Newfoundland and Labrador","2016/2017",0,130,1100,393,220,2269,115,134,1828,507,10,0,52,72,
"Newfoundland and Labrador","2017/2018",0,146,1165,483,289,2388,114,112,2474,591,33,0,69,56,
"Newfoundland and Labrador","2018/2019",0,180,1480,562,266,2700,150,222,3040,913,19,0,89,85,
"Prince Edward Island","1971/1972",90,0,864,661,252,1512,87,64,259,150,12,16,0,0,
"Prince Edward Island","1972/1973",155,0,885,405,129,1437,137,27,206,143,8,13,0,0,
"Prince Edward Island","1973/1974",180,0,869,728,205,1349,174,42,342,229,4,4,0,0,
"Prince Edward Island","1974/1975",147,0,942,748,144,1121,176,46,403,234,16,26,0,0,
"Prince Edward Island","1975/1976",119,0,1006,611,180,1053,141,74,430,171,11,16,0,0,
"Prince Edward Island","1976/1977",184,0,894,616,111,938,129,71,531,185,3,21,0,0,
"Prince Edward Island","1977/1978",139,0,799,490,77,816,117,54,503,217,8,13,0,0,
"Prince Edward Island","1978/1979",129,0,1048,582,165,842,104,52,462,247,5,22,0,0,
"Prince Edward Island","1979/1980",116,0,781,492,96,894,70,68,712,272,14,28,0,0,
"Prince Edward Island","1980/1981",121,0,990,528,108,914,107,58,1199,301,11,30,0,0,
"Prince Edward Island","1981/1982",148,0,933,552,73,893,113,75,1172,213,18,41,0,0,
"Prince Edward Island","1982/1983",133,0,620,456,104,728,61,59,441,144,6,15,0,0,
"Prince Edward Island","1983/1984",131,0,589,432,80,721,76,19,247,107,7,13,0,0,
"Prince Edward Island","1984/1985",118,0,686,390,154,804,64,48,233,139,4,14,0,0,
"Prince Edward Island","1985/1986",86,0,759,485,111,843,67,51,324,151,4,25,0,0,
"Prince Edward Island","1986/1987",88,0,775,468,169,955,61,26,197,150,12,24,0,0,
"Prince Edward Island","1987/1988",110,0,650,531,133,997,33,42,209,150,5,8,0,0,
"Prince Edward Island","1988/1989",133,0,835,502,132,927,74,29,204,140,4,29,0,0,
"Prince Edward Island","1989/1990",133,0,948,545,169,1123,58,58,286,231,2,22,0,0,
"Prince Edward Island","1990/1991",153,0,835,476,122,862,53,57,297,245,8,26,0,0,
"Prince Edward Island","1991/1992",135,0,944,385,121,815,58,70,374,250,8,0,12,2,
"Prince Edward Island","1992/1993",61,0,529,422,88,504,36,18,133,179,6,0,14,5,
"Prince Edward Island","1993/1994",93,0,490,332,92,579,22,45,188,221,1,0,3,0,
"Prince Edward Island","1994/1995",80,0,517,353,66,627,36,34,228,207,3,0,12,2,
"Prince Edward Island","1995/1996",151,0,556,359,62,589,21,44,236,205,7,0,3,11,
"Prince Edward Island","1996/1997",196,0,612,369,105,643,43,21,381,175,3,0,7,3,
"Prince Edward Island","1997/1998",110,0,645,468,106,724,47,53,617,202,2,0,8,4,
"Prince Edward Island","1998/1999",101,0,588,387,85,665,24,33,360,119,11,0,11,2,
"Prince Edward Island","1999/2000",146,0,649,427,85,734,23,30,324,120,10,0,3,7,
"Prince Edward Island","2000/2001",96,0,610,331,85,689,51,33,349,133,2,0,8,15,
"Prince Edward Island","2001/2002",154,0,575,413,102,724,31,26,374,159,0,0,13,6,
"Prince Edward Island","2002/2003",153,0,585,419,77,663,33,42,363,134,8,0,30,14,
"Prince Edward Island","2003/2004",107,0,584,386,80,616,41,41,390,161,2,0,13,5,
"Prince Edward Island","2004/2005",118,0,525,466,88,576,28,36,631,187,2,0,11,8,
"Prince Edward Island","2005/2006",145,0,616,455,88,606,21,35,866,232,8,0,21,6,
"Prince Edward Island","2006/2007",115,0,579,448,78,633,32,33,1157,201,5,0,48,5,
"Prince Edward Island","2007/2008",174,0,535,414,97,666,30,36,910,216,4,0,17,13,
"Prince Edward Island","2008/2009",159,0,603,413,76,706,24,36,733,254,20,0,23,11,
"Prince Edward Island","2009/2010",115,0,551,332,89,784,25,35,479,205,4,0,24,6,
"Prince Edward Island","2010/2011",124,0,507,359,94,717,36,47,534,250,7,0,20,9,
"Prince Edward Island","2011/2012",123,0,528,391,102,888,31,79,786,291,10,0,6,3,
"Prince Edward Island","2012/2013",98,0,489,370,114,878,31,68,911,201,10,0,17,8,
"Prince Edward Island","2013/2014",88,0,550,351,88,775,34,58,908,262,4,0,14,7,
"Prince Edward Island","2014/2015",103,0,530,344,100,718,27,51,880,266,7,0,17,6,
"Prince Edward Island","2015/2016",96,0,494,318,85,897,24,46,528,330,8,0,6,12,
"Prince Edward Island","2016/2017",98,0,488,302,96,921,25,43,401,266,15,0,14,11,
"Prince Edward Island","2017/2018",68,0,510,314,109,1242,32,22,399,294,4,0,11,11,
"Prince Edward Island","2018/2019",112,0,563,264,160,1817,48,44,486,292,0,0,0,7,
"Nova Scotia","1971/1972",1641,748,0,3435,2093,10426,596,248,1393,2589,50,78,0,0,
"Nova Scotia","1972/1973",1545,912,0,3751,1554,8675,627,168,1295,1749,37,61,0,0,
"Nova Scotia","1973/1974",1931,997,0,3898,1935,11038,1237,216,1570,2333,29,47,0,0,
"Nova Scotia","1974/1975",1563,1190,0,4389,1663,9179,1027,531,1874,2766,70,108,0,0,
"Nova Scotia","1975/1976",1479,1094,0,3877,1349,7993,713,471,1937,1811,57,92,0,0,
"Nova Scotia","1976/1977",1432,831,0,3352,1326,7638,858,456,3364,2178,54,159,0,0,
"Nova Scotia","1977/1978",1375,922,0,2839,1229,7113,737,376,3225,2482,23,150,0,0,
"Nova Scotia","1978/1979",1365,870,0,3262,1220,6530,600,432,3270,2528,35,150,0,0,
"Nova Scotia","1979/1980",1436,647,0,2893,1158,6485,666,381,4130,2408,32,178,0,0,
"Nova Scotia","1980/1981",1412,741,0,2529,1139,6702,592,412,5330,2478,72,166,0,0,
"Nova Scotia","1981/1982",1351,931,0,2606,1034,6669,665,419,4699,2152,47,262,0,0,
"Nova Scotia","1982/1983",1126,607,0,2384,834,5694,467,328,2240,1508,20,167,0,0,
"Nova Scotia","1983/1984",1072,653,0,2235,940,5644,479,287,1384,1368,26,132,0,0,
"Nova Scotia","1984/1985",1093,677,0,2233,1013,6012,491,248,1514,1248,26,141,0,0,
"Nova Scotia","1985/1986",1078,712,0,2642,1234,7231,568,280,2309,1582,20,150,0,0,
"Nova Scotia","1986/1987",1207,561,0,2526,1076,8002,513,218,1747,1679,18,120,0,0,
"Nova Scotia","1987/1988",1207,742,0,2625,1242,9329,525,313,1461,2147,20,143,0,0,
"Nova Scotia","1988/1989",1284,789,0,2598,1240,8327,467,197,1673,1925,17,155,0,0,
"Nova Scotia","1989/1990",1432,831,0,2944,1516,8485,492,228,1805,2277,52,147,0,0,
"Nova Scotia","1990/1991",1264,638,0,2768,1128,7465,602,199,1797,2416,41,163,0,0,
"Nova Scotia","1991/1992",1410,712,0,2506,1123,6791,505,266,1971,2549,69,0,104,49,
"Nova Scotia","1992/1993",1139,576,0,2533,1161,6578,540,270,1835,2797,40,0,72,70,
"Nova Scotia","1993/1994",1168,638,0,2439,942,6268,485,232,1734,3020,25,0,104,91,
